	Domain	Supergroup	Kingdom	Phylum	Order	Class	Family	Genus
ASV01328	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV02204	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV02470	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV03339	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV03398	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV05241	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV05766	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV06586	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV07947	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV08409	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV08705	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV10795	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV11064	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV12663	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV13192	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV07408	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Actinocephalidae_unclassified	Actinocephalidae_unclassified
ASV06709	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Mattesia	Mattesia_unclassified
ASV00054	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00058	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00102	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00158	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00176	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00205	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00221	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00227	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00326	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00365	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00366	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00376	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00388	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00455	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00479	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00504	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00621	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00622	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00631	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00658	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00675	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00685	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00731	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00734	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00781	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00799	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00818	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00838	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00901	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00903	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00910	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00917	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00962	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV00978	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01006	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01032	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01079	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01083	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01104	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01128	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01135	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01154	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01202	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01232	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01285	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01302	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01313	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01336	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01347	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01361	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01373	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01426	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01441	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01476	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01509	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01517	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01520	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01561	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01567	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01568	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01592	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01593	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01652	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01655	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01675	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01684	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01792	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01808	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01836	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01840	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01848	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01896	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01940	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01942	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01959	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01961	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01981	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV01991	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02009	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02013	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02054	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02078	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02098	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02121	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02139	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02148	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02159	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02168	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02179	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02200	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02270	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02299	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02340	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02359	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02373	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02389	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02410	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02433	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02582	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02616	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02628	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02632	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02657	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02677	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02687	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02692	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02694	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02722	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02739	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02741	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02778	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02794	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02802	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02811	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02830	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02846	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02912	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02958	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV02998	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03020	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03101	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03116	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03160	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03179	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03216	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03233	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03283	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03296	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03298	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03303	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03352	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03353	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03389	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03404	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03486	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03497	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03517	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03528	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03575	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03582	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03637	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03705	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03733	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03760	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
ASV03796	Eukaryota	Alveolata	Ciliophora	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified	Ciliophora_unclassified
